Country_Name,Deaths,Confirmed
US,10,3521
US,0,675
US,21,2482
US,0,6
US,0,0
US,2,786
US,5,983
US,13,1757
US,34,8320
US,639,36336
US,643,39086
US,526,52821
US,415,21401
US,189,14101
US,40,2717
US,159,5950
US,18846,1530296
US,1669,67291
US,971,48374
US,0,0
US,4301,317052
US,1814,156974
US,245,19628
US,0,0
US,1388,60313
US,1257,71174
US,95,7009
US,82,6249
US,283,10722
US,1002,77394
US,203,11277
US,57,3595
US,14,1194
US,123,7284
US,65,3126
US,92,6412
US,101,5146
US,148,8055
US,42,2677
US,105,6794
US,84,6606
US,388,47352
US,295,18657
US,246,16702
US,104,5745
US,41,2071
US,44,3656
US,84,5638
US,358,42997
US,82,4488
US,99,3108
US,581,27083
US,65,5252
US,201,19801
US,83,5638
US,161,13058
US,64,4657
US,231,12797
US,78,4712
US,76,7280
US,316,22364
US,103,8197
US,30,1507
US,90,6526
US,68,3344
US,70,5502
US,109,3888
US,91,6069
US,270,23994
US,69,4857
US,95,4100
US,210,11628
US,235,16411
US,39,2309
US,67,1770
US,47,2770
US,54,2051
US,126,6776
US,43,3017
US,106,5887
US,49,2964
US,139,10113
US,160,4652
US,230,20964
US,46,2416
US,1322,127945
US,107,6456
US,395,37142
US,49,2852
US,53,2562
US,587,39338
US,84,7125
US,123,5714
US,110,8565
US,80,3702
US,0,33605
US,204,11292
US,67,4340
US,709,80947
US,340,27120
US,33,2274
US,118,7596
US,2192,402160
US,0,143
US,99,11553
US,487,51967
US,140,9650
US,22,5346
US,1559,295633
US,60,8405
US,245,39170
US,3001,329460
US,58,7811
US,170,29324
US,978,88972
US,63,6072
US,2625,310792
US,481,67356
US,157,14941
US,66,11319
US,35545,3710586
US,388,55217
US,317,54908
US,42,4545
US,143,21739
US,903,89409
US,11,1327
US,8,3633
US,804,122120
US,170,35992
US,133,22495
US,7971,788663
US,0,0
US,682,91376
US,15,4290
US,6853,776620
US,3719,409095
US,117,18800
US,8170,745179
US,5799,1067659
US,1178,209846
US,2421,227031
US,561,74632
US,912,194587
US,763,119952
US,2727,497526
US,276,72428
US,607,44785
US,5,372
US,96,8908
US,482,122718
US,556,119546
US,1845,168343
US,241,28309
US,234,17875
US,24,1981
US,1578,168754
US,203,17914
US,0,4384
US,1679,239184
US,443,54973
US,135,21924
US,1466,166371
US,68,5953
US,1368,197066
US,24,3534
US,17,1027
US,50,3004
US,447,91179
US,133,18376
US,56,5662
US,12,392
US,13,1931
US,58,2303
US,19,961
US,33,3558
US,23,837
US,161,7202
US,1524,224919
US,8,424
US,498,100968
US,39,18833
US,1904,237195
US,48,5836
US,210,18767
US,104,18041
US,7,1171
US,30,4053
US,16,3970
US,0,161
US,41,1764
US,0,195
US,1554,160677
US,6,392
US,32,1877
US,99,15836
US,2,2203
US,606,109313
US,51,4408
US,11,2382
US,119,8661
US,639,51841
US,4,303
US,55,3738
US,90,7673
US,183,11179
US,148,6973
US,137,5320
US,6,1118
US,0,0
US,24,3499
US,20,1123
US,9,8081
US,52,3226
US,880,61961
US,15,2236
US,47,3634
US,34,7882
US,12,1524
US,0,316
US,8,2713
US,12,582
US,15,12072
US,67,5913
US,25,261
US,35,1262
US,780,106227
US,27,2342
US,3017,264399
US,3494,237105
US,532,41816
US,547,38840
US,3165,257919
US,784,73980
US,317,27913
US,9,3271
US,355,31414
US,724,64447
US,1608,186969
US,992,78267
US,0,1110
US,0,49
US,1432,177945
US,833,89806
US,154,10746
US,894,56189
US,177,9245
US,2513,175277
US,6770,774980
US,111,4939
US,1009,48860
US,1146,39070
US,979,67269
US,1174,106604
US,472,25731
US,175,11287
US,89,4938
US,3872,319149
US,1479,98081
US,438,29013
US,58,3580
US,246,17803
US,109,5663
US,38,2311
US,90,5043
US,64,4585
US,141,10362
US,174,13827
US,1286,53794
US,807,30739
US,4409,479640
US,107,6384
US,763,42698
US,301,18364
US,70,5046
US,65,3157
US,1811,109346
US,2557,243110
US,794,114380
US,192,12803
US,31,2997
US,108,7053
US,1743,123507
US,2497,105662
US,768,40724
US,12285,1552197
US,138,22919
US,355,27713
US,768,62183
US,200,12495
US,3301,475796
US,1273,144497
US,6031,481679
US,2280,159816
US,4065,277006
US,3450,260300
US,469,21209
US,695,59416
US,2063,122219
US,1282,132095
US,706,78720
US,1413,96060
US,720,30228
US,360,16028
US,116,8109
US,396,3307
US,126,5131
US,2341,151166
US,143,12188
US,236,20605
US,124,7746
US,136,5266
US,58,2449
US,82,4098
US,15,654
US,262,11199
US,101,4586
US,291,26052
US,488,35396
US,125,4991
US,96,5876
US,836,45403
US,111,3938
US,116,4689
US,101,4061
US,112,11203
US,283,17869
US,124,6296
US,181,7680
US,25,1571
US,140,13653
US,110,2581
US,500,28396
US,205,16998
US,65,3485
US,1042,79653
US,24,7924
US,152,7581
US,713,75790
US,264,35334
US,7,625
US,1095,77902
US,46,2457
US,2102,216663
US,308,11781
US,278,13042
US,438,43298
US,83,5707
US,527,41221
US,64,2225
US,146,5596
US,44,3942
US,108,8345
US,1980,192315
US,144,8566
US,174,5942
US,76,2844
US,577,24389
US,462,43478
US,65,3126
US,12,1059
US,217,16399
US,121,5334
US,168,6781
US,70,2836
US,180,5768
US,387,29631
US,572,32150
US,466,66837
US,116,6176
US,2667,276219
US,199,8267
US,31,727
US,442,27259
US,305,19761
US,114,6835
US,91,4758
US,2122,257462
US,290,11488
US,935,63629
US,91,1945
US,186,6292
US,125,7114
US,112,5609
US,62,2583
US,758,72008
US,545,49515
US,57,2226
US,314,24990
US,83,3797
US,77,4357
US,122,4238
US,69,1789
US,86,2645
US,127,6040
US,131,5842
US,32,2698
US,330,16454
US,113,8668
US,168,15774
US,40,1838
US,36,3479
US,434,36984
US,139,8941
US,54,2737
US,123,8025
US,57,1872
US,114,6165
US,39,2857
US,159,5576
US,32,2033
US,127,6277
US,185,7074
US,57,2329
US,75,5534
US,206,13523
US,928,45908
US,498,30775
US,117,10559
US,65,3758
US,1654,99220
US,477,46667
US,151,7951
US,194,10130
US,144,6431
US,109,6495
US,215,13752
US,84,2699
US,115,5270
US,5,551
US,106,4116
US,50,1825
US,972,60659
US,351,23742
US,11,1412
US,76,3174
US,39,2510
US,452,19289
US,183,7270
US,36,3287
US,190,8733
US,35,1381
US,4,337
US,144,5725
US,53,2440
US,90,3520
US,71,2547
US,235,13776
US,240,13823
US,216,7999
US,127,3085
US,71,1882
US,426,18779
US,65,3186
US,74,1852
US,2,12410
US,182,6138
US,259,9619
US,291,19976
US,480,26614
US,304,11350
US,35,1291
US,141,5134
US,222,8867
US,10,545
US,39,1590
US,185,8336
US,494,39243
US,73,2414
US,55,2624
US,67,2670
US,125,5532
US,3,103
US,420,61027
US,237,42594
US,1355,264197
US,50,19155
US,185,45510
US,14,9152
US,0,0
US,1139,160373
US,16,819
US,273,24459
US,19,1155
US,45,2770
US,175,11205
US,33,7310
US,14,1297
US,201,10275
US,305,35614
US,69,2416
US,12,555
US,2,182
US,738,70696
US,35,1664
US,58,5610
US,1,118
US,40,2693
US,9,707
US,74,9096
US,31,2594
US,30,2415
US,86,4263
US,61,3932
US,59,3601
US,69,6853
US,68,7118
US,669,47262
US,57,7725
US,28,1796
US,32,1406
US,15,1300
US,58,13800
US,71,4821
US,161,10618
US,12,956
US,56,2613
US,92,6793
US,20,1660
US,80,3119
US,9,2937
US,315,28733
US,0,0
US,18,3146
US,61,2645
US,234,27974
US,16,1574
US,31,5310
US,127,17550
US,17,2873
US,136,10275
US,6,1900
US,57,5022
US,38,5620
US,315,86054
US,119,13026
US,54,5933
US,76,5921
US,118,14392
US,189,18977
US,15289,1533935
US,50,7889
US,40,4004
US,42,5211
US,217,32553
US,63,7943
US,1859,289813
US,60,6660
US,29,2125
US,147,12823
US,106,8753
US,71,5516
US,186,15422
US,139,12788
US,20,1850
US,49,4281
US,154,16326
US,32,2668
US,52,5396
US,20,1447
US,19,1576
US,135,15932
US,131,8886
US,143,20182
US,33,3224
US,185,13589
US,80,7873
US,46,5182
US,44,5572
US,1216,166146
US,386,36784
US,171,41814
US,245,16232
US,421,37187
US,1544,210403
US,45,6844
US,92,11614
US,145,13246
US,101,12678
US,373,40343
US,149,16079
US,857,87637
US,223,14693
US,34,3481
US,67,4730
US,73,4663
US,109,9086
US,525,98211
US,332,64188
US,29,4598
US,51,4931
US,135,11440
US,112,12176
US,138,12381
US,51,4939
US,141,17498
US,0,3
US,579,59913
US,101,9157
US,23,5584
US,70,6159
US,9,1266
US,23,2057
US,11,1421
US,135,12948
US,77,6317
US,519,42574
US,106,10361
US,445,76600
US,18,2474
US,14,1575
US,81,7605
US,802,81204
US,39,1891
US,189,15058
US,514,46151
US,5065,66
US,70,6858
US,325,35285
US,30,4837
